Approach,Metric,Average,Std Dev,Min,Max
FREQUENCY,FUZZY,0.3669,0.11303711779765088,0.07,0.66
FREQUENCY,JACCARD,0.12024936124848376,0.09684813020484562,0.0,0.4
FREQUENCY,FASTTEXT,0.7521639172900002,0.20856166446512367,-0.029996231,0.9556735
FREQUENCY,ROUGE1,0.21584716497104597,0.12079343290969045,0.0,0.5454545454545455
FREQUENCY,ROUGE2,0.08195983174326381,0.08900919754249599,0.0,0.380952380952381
FREQUENCY,ROUGEL,0.17397413512061277,0.10150050082277008,0.0,0.5454545454545455
TFIDF,FUZZY,0.3636,0.11625420422505157,0.07,0.66
TFIDF,JACCARD,0.11545101642540852,0.10919805638241731,0.0,0.4666666666666667
TFIDF,FASTTEXT,0.7566608799,0.19017213040107897,0.16034074,0.95157254
TFIDF,ROUGE1,0.20747562646952786,0.12768986519030232,0.0,0.5909090909090909
TFIDF,ROUGE2,0.08152341386285464,0.10068537150956686,0.0,0.4285714285714286
TFIDF,ROUGEL,0.17276333676840835,0.11493867858929308,0.0,0.5454545454545455
LEXRANK,FUZZY,0.4495,0.1402453207775575,0.07,0.93
LEXRANK,JACCARD,0.18455024977528506,0.16866786858435004,0.0,0.8888888888888888
LEXRANK,FASTTEXT,0.76903180564,0.21303310022481914,-0.029996231,0.9824175
LEXRANK,ROUGE1,0.29594869144358055,0.1687713398017279,0.0,0.888888888888889
LEXRANK,ROUGE2,0.14103045730983554,0.16189923933025072,0.0,0.88
LEXRANK,ROUGEL,0.2458697250990999,0.1532124770527145,0.0,0.888888888888889
TEXTRANK,FUZZY,0.35400000000000004,0.10288828893513585,0.07,0.66
TEXTRANK,JACCARD,0.0988480823037396,0.08841230566724749,0.0,0.375
TEXTRANK,FASTTEXT,0.7453847078900001,0.2036071442383248,-0.029996231,0.9556735
TEXTRANK,ROUGE1,0.18477383811743445,0.10459673105645975,0.0,0.5454545454545455
TEXTRANK,ROUGE2,0.06139840522036584,0.0740338142120421,0.0,0.380952380952381
TEXTRANK,ROUGEL,0.1501884379918353,0.0877268614718924,0.0,0.5454545454545455
T5,FUZZY,0.3997,0.11286677987787194,0.13,0.7
T5,JACCARD,0.1535733799515774,0.11014023941401126,0.0,0.5
T5,FASTTEXT,0.7798810755199999,0.17660120692311776,-0.024963308,0.9422963
T5,ROUGE1,0.26499419011785075,0.1238109728062216,0.0,0.5238095238095237
T5,ROUGE2,0.12503818779749765,0.11341753718416779,0.0,0.4081632653061224
T5,ROUGEL,0.2182753228796752,0.11268522720429076,0.0,0.5238095238095237
